Time,Location,Plastic Count,Status,Risk Level
2026-08-24 19:09:50,Kongu Engineering College,1,WARNING,
2026-08-24 19:10:46,Kongu Engineering College,0,CLEAR,
2026-08-24 19:48:26,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:49:49,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:50:13,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:50:18,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:50:19,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:50:35,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:58:53,Kongu Engineering College,1,WARNING,🟢 LOW RISK
2026-08-24 21:59:50,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 21:59:56,Kongu Engineering College,0,CLEAR,🟢 LOW RISK
2026-08-24 22:06:31,Kongu Engineering College,1,WARNING,🟢 LOW RISK
